# DerivedGeneralCategory-3.2.0.txt
# Date: 2002-03-19,23:30:49 GMT [MD]
#
# Unicode Character Database: Derived Property Data
# Generated algorithmically from the Unicode Character Database
# For documentation, see DerivedProperties.html
# Note: Unassigned and Noncharacter codepoints are omitted,
#       except when listing Noncharacter or Cn.
# ================================================


# ================================================
# General Category (listing UnicodeData.txt, field 2: see UnicodeData.html)
# ================================================

0221          ; Cn #       
046E          ; Lu #       CYRILLIC CAPITAL LETTER KSI
0470          ; Lu #       CYRILLIC CAPITAL LETTER PSI
0472          ; Lu #       CYRILLIC CAPITAL LETTER FITA
0474          ; Lu #       CYRILLIC CAPITAL LETTER IZHITSA
0476          ; Lu #       CYRILLIC CAPITAL LETTER IZHITSA WITH DOUBLE GRAVE ACCENT
0478          ; Lu #       CYRILLIC CAPITAL LETTER UK
047A          ; Lu #       CYRILLIC CAPITAL LETTER ROUND OMEGA
047C          ; Lu #       CYRILLIC CAPITAL LETTER OMEGA WITH TITLO
047E          ; Lu #       CYRILLIC CAPITAL LETTER OT
0480          ; Lu #       CYRILLIC CAPITAL LETTER KOPPA
048A          ; Lu #       CYRILLIC CAPITAL LETTER SHORT I WITH TAIL
048C          ; Lu #       CYRILLIC CAPITAL LETTER SEMISOFT SIGN
048E          ; Lu #       CYRILLIC CAPITAL LETTER ER WITH TICK
0490          ; Lu #       CYRILLIC CAPITAL LETTER GHE WITH UPTURN
0492          ; Lu #       CYRILLIC CAPITAL LETTER GHE WITH STROKE
0494          ; Lu #       CYRILLIC CAPITAL LETTER GHE WITH MIDDLE HOOK
0496          ; Lu #       CYRILLIC CAPITAL LETTER ZHE WITH DESCENDER
0498          ; Lu #       CYRILLIC CAPITAL LETTER ZE WITH DESCENDER
049A          ; Lu #       CYRILLIC CAPITAL LETTER KA WITH DESCENDER
049C          ; Lu #       CYRILLIC CAPITAL LETTER KA WITH VERTICAL STROKE
049E          ; Lu #       CYRILLIC CAPITAL LETTER KA WITH STROKE
04A0          ; Lu #       CYRILLIC CAPITAL LETTER BASHKIR KA
04A2          ; Lu #       CYRILLIC CAPITAL LETTER EN WITH DESCENDER
04A4          ; Lu #       CYRILLIC CAPITAL LIGATURE EN GHE
04A6          ; Lu #       CYRILLIC CAPITAL LETTER PE WITH MIDDLE HOOK
04A8          ; Lu #       CYRILLIC CAPITAL LETTER ABKHASIAN HA
04AA          ; Lu #       CYRILLIC CAPITAL LETTER ES WITH DESCENDER
04AC          ; Lu #       CYRILLIC CAPITAL LETTER TE WITH DESCENDER
04AE          ; Lu #       CYRILLIC CAPITAL LETTER STRAIGHT U
04B0          ; Lu #       CYRILLIC CAPITAL LETTER STRAIGHT U WITH STROKE
04B2          ; Lu #       CYRILLIC CAPITAL LETTER HA WITH DESCENDER
04B4          ; Lu #       CYRILLIC CAPITAL LIGATURE TE TSE
04B6          ; Lu #       CYRILLIC CAPITAL LETTER CHE WITH DESCENDER
04B8          ; Lu #       CYRILLIC CAPITAL LETTER CHE WITH VERTICAL STROKE
04BA          ; Lu #       CYRILLIC CAPITAL LETTER SHHA
04BC          ; Lu #       CYRILLIC CAPITAL LETTER ABKHASIAN CHE
04BE          ; Lu #       CYRILLIC CAPITAL LETTER ABKHASIAN CHE WITH DESCENDER
04C0..04C1    ; Lu #   [2] CYRILLIC LETTER PALOCHKA..CYRILLIC CAPITAL LETTER ZHE WITH BREVE
04C3          ; Lu #       CYRILLIC CAPITAL LETTER KA WITH HOOK
04C5          ; Lu #       CYRILLIC CAPITAL LETTER EL WITH TAIL
04C7          ; Lu #       CYRILLIC CAPITAL LETTER EN WITH HOOK
04C9          ; Lu #       CYRILLIC CAPITAL LETTER EN WITH TAIL
04CB          ; Lu #       CYRILLIC CAPITAL LETTER KHAKASSIAN CHE
04CD          ; Lu #       CYRILLIC CAPITAL LETTER EM WITH TAIL
04D0          ; Lu #       CYRILLIC CAPITAL LETTER A WITH BREVE
04D2          ; Lu #       CYRILLIC CAPITAL LETTER A WITH DIAERESIS
04D4          ; Lu #       CYRILLIC CAPITAL LIGATURE A IE
04D6          ; Lu #       CYRILLIC CAPITAL LETTER IE WITH BREVE
04D8          ; Lu #       CYRILLIC CAPITAL LETTER SCHWA
04DA          ; Lu #       CYRILLIC CAPITAL LETTER SCHWA WITH DIAERESIS
04DC          ; Lu #       CYRILLIC CAPITAL LETTER ZHE WITH DIAERESIS
04DE          ; Lu #       CYRILLIC CAPITAL LETTER ZE WITH DIAERESIS
04E0          ; Lu #       CYRILLIC CAPITAL LETTER ABKHASIAN DZE
04E2          ; Lu #       CYRILLIC CAPITAL LETTER I WITH MACRON
04E4          ; Lu #       CYRILLIC CAPITAL LETTER I WITH DIAERESIS
04E6          ; Lu #       CYRILLIC CAPITAL LETTER O WITH DIAERESIS
04E8          ; Lu #       CYRILLIC CAPITAL LETTER BARRED O
04EA          ; Lu #       CYRILLIC CAPITAL LETTER BARRED O WITH DIAERESIS
04EC          ; Lu #       CYRILLIC CAPITAL LETTER E WITH DIAERESIS
04EE          ; Lu #       CYRILLIC CAPITAL LETTER U WITH MACRON
04F0          ; Lu #       CYRILLIC CAPITAL LETTER U WITH DIAERESIS
04F2          ; Lu #       CYRILLIC CAPITAL LETTER U WITH DOUBLE ACUTE
04F4          ; Lu #       CYRILLIC CAPITAL LETTER CHE WITH DIAERESIS
04F8          ; Lu #       CYRILLIC CAPITAL LETTER YERU WITH DIAERESIS
0500          ; Lu #       CYRILLIC CAPITAL LETTER KOMI DE
0502          ; Lu #       CYRILLIC CAPITAL LETTER KOMI DJE
0504          ; Lu #       CYRILLIC CAPITAL LETTER KOMI ZJE
0506          ; Lu #       CYRILLIC CAPITAL LETTER KOMI DZJE
0508          ; Lu #       CYRILLIC CAPITAL LETTER KOMI LJE
050A          ; Lu #       CYRILLIC CAPITAL LETTER KOMI NJE
050C          ; Lu #       CYRILLIC CAPITAL LETTER KOMI SJE
050E          ; Lu #       CYRILLIC CAPITAL LETTER KOMI TJE
0531..0556    ; Lu #  [38] ARMENIAN CAPITAL LETTER AYB..ARMENIAN CAPITAL LETTER FEH
10A0..10C5    ; Lu #  [38] GEORGIAN CAPITAL LETTER AN..GEORGIAN CAPITAL LETTER HOE
1E00          ; Lu #       LATIN CAPITAL LETTER A WITH RING BELOW
1E02          ; Lu #       LATIN CAPITAL LETTER B WITH DOT ABOVE
1E04          ; Lu #       LATIN CAPITAL LETTER B WITH DOT BELOW
1E06          ; Lu #       LATIN CAPITAL LETTER B WITH LINE BELOW
1E08          ; Lu #       LATIN CAPITAL LETTER C WITH CEDILLA AND ACUTE
1E0A          ; Lu #       LATIN CAPITAL LETTER D WITH DOT ABOVE
1E0C          ; Lu #       LATIN CAPITAL LETTER D WITH DOT BELOW
1E0E          ; Lu #       LATIN CAPITAL LETTER D WITH LINE BELOW
1E10          ; Lu #       LATIN CAPITAL LETTER D WITH CEDILLA
1E12          ; Lu #       LATIN CAPITAL LETTER D WITH CIRCUMFLEX BELOW
1E14          ; Lu #       LATIN CAPITAL LETTER E WITH MACRON AND GRAVE
1E16          ; Lu #       LATIN CAPITAL LETTER E WITH MACRON AND ACUTE
1E18          ; Lu #       LATIN CAPITAL LETTER E WITH CIRCUMFLEX BELOW
1E1A          ; Lu #       LATIN CAPITAL LETTER E WITH TILDE BELOW
1E1C          ; Lu #       LATIN CAPITAL LETTER E WITH CEDILLA AND BREVE
1E1E          ; Lu #       LATIN CAPITAL LETTER F WITH DOT ABOVE
1E20          ; Lu #       LATIN CAPITAL LETTER G WITH MACRON
1E22          ; Lu #       LATIN CAPITAL LETTER H WITH DOT ABOVE
1E24          ; Lu #       LATIN CAPITAL LETTER H WITH DOT BELOW
1E26          ; Lu #       LATIN CAPITAL LETTER H WITH DIAERESIS
1E28          ; Lu #       LATIN CAPITAL LETTER H WITH CEDILLA
1E2A          ; Lu #       LATIN CAPITAL LETTER H WITH BREVE BELOW
1E2C          ; Lu #       LATIN CAPITAL LETTER I WITH TILDE BELOW
1E2E          ; Lu #       LATIN CAPITAL LETTER I WITH DIAERESIS AND ACUTE
1E30          ; Lu #       LATIN CAPITAL LETTER K WITH ACUTE
1E32          ; Lu #       LATIN CAPITAL LETTER K WITH DOT BELOW
1E34          ; Lu #       LATIN CAPITAL LETTER K WITH LINE BELOW
1E36          ; Lu #       LATIN CAPITAL LETTER L WITH DOT BELOW
1E38          ; Lu #       LATIN CAPITAL LETTER L WITH DOT BELOW AND MACRON
1E3A          ; Lu #       LATIN CAPITAL LETTER L WITH LINE BELOW
1E3C          ; Lu #       LATIN CAPITAL LETTER L WITH CIRCUMFLEX BELOW
1E3E          ; Lu #       LATIN CAPITAL LETTER M WITH ACUTE
1E40          ; Lu #       LATIN CAPITAL LETTER M WITH DOT ABOVE
1E42          ; Lu #       LATIN CAPITAL LETTER M WITH DOT BELOW
1E44          ; Lu #       LATIN CAPITAL LETTER N WITH DOT ABOVE
1E46          ; Lu #       LATIN CAPITAL LETTER N WITH DOT BELOW
1E48          ; Lu #       LATIN CAPITAL LETTER N WITH LINE BELOW
1E4A          ; Lu #       LATIN CAPITAL LETTER N WITH CIRCUMFLEX BELOW
1E4C          ; Lu #       LATIN CAPITAL LETTER O WITH TILDE AND ACUTE
1E4E          ; Lu #       LATIN CAPITAL LETTER O WITH TILDE AND DIAERESIS
1E50          ; Lu #       LATIN CAPITAL LETTER O WITH MACRON AND GRAVE
1E52          ; Lu #       LATIN CAPITAL LETTER O WITH MACRON AND ACUTE
1E54          ; Lu #       LATIN CAPITAL LETTER P WITH ACUTE
1E56          ; Lu #       LATIN CAPITAL LETTER P WITH DOT ABOVE
1E58          ; Lu #       LATIN CAPITAL LETTER R WITH DOT ABOVE
1E5A          ; Lu #       LATIN CAPITAL LETTER R WITH DOT BELOW
1E5C          ; Lu #       LATIN CAPITAL LETTER R WITH DOT BELOW AND MACRON
1E5E          ; Lu #       LATIN CAPITAL LETTER R WITH LINE BELOW
1E60          ; Lu #       LATIN CAPITAL LETTER S WITH DOT ABOVE
1E62          ; Lu #       LATIN CAPITAL LETTER S WITH DOT BELOW
1E64          ; Lu #       LATIN CAPITAL LETTER S WITH ACUTE AND DOT ABOVE
1E66          ; Lu #       LATIN CAPITAL LETTER S WITH CARON AND DOT ABOVE
1E68          ; Lu #       LATIN CAPITAL LETTER S WITH DOT BELOW AND DOT ABOVE
1E6A          ; Lu #       LATIN CAPITAL LETTER T WITH DOT ABOVE
1E6C          ; Lu #       LATIN CAPITAL LETTER T WITH DOT BELOW
1E6E          ; Lu #       LATIN CAPITAL LETTER T WITH LINE BELOW
1E70          ; Lu #       LATIN CAPITAL LETTER T WITH CIRCUMFLEX BELOW
1E72          ; Lu #       LATIN CAPITAL LETTER U WITH DIAERESIS BELOW
1E74          ; Lu #       LATIN CAPITAL LETTER U WITH TILDE BELOW
1E76          ; Lu #       LATIN CAPITAL LETTER U WITH CIRCUMFLEX BELOW
1E78          ; Lu #       LATIN CAPITAL LETTER U WITH TILDE AND ACUTE
1E7A          ; Lu #       LATIN CAPITAL LETTER U WITH MACRON AND DIAERESIS
1E7C          ; Lu #       LATIN CAPITAL LETTER V WITH TILDE
1E7E          ; Lu #       LATIN CAPITAL LETTER V WITH DOT BELOW
1E80          ; Lu #       LATIN CAPITAL LETTER W WITH GRAVE
1E82          ; Lu #       LATIN CAPITAL LETTER W WITH ACUTE
1E84          ; Lu #       LATIN CAPITAL LETTER W WITH DIAERESIS
1E86          ; Lu #       LATIN CAPITAL LETTER W WITH DOT ABOVE
1E88          ; Lu #       LATIN CAPITAL LETTER W WITH DOT BELOW
1E8A          ; Lu #       LATIN CAPITAL LETTER X WITH DOT ABOVE
1E8C          ; Lu #       LATIN CAPITAL LETTER X WITH DIAERESIS
1E8E          ; Lu #       LATIN CAPITAL LETTER Y WITH DOT ABOVE
1E90          ; Lu #       LATIN CAPITAL LETTER Z WITH CIRCUMFLEX
1E92          ; Lu #       LATIN CAPITAL LETTER Z WITH DOT BELOW
1E94          ; Lu #       LATIN CAPITAL LETTER Z WITH LINE BELOW
1EA0          ; Lu #       LATIN CAPITAL LETTER A WITH DOT BELOW
1EA2          ; Lu #       LATIN CAPITAL LETTER A WITH HOOK ABOVE
1EA4          ; Lu #       LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND ACUTE
1EA6          ; Lu #       LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND GRAVE
1EA8          ; Lu #       LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE
1EAA          ; Lu #       LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND TILDE
1EAC          ; Lu #       LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND DOT BELOW
1EAE          ; Lu #       LATIN CAPITAL LETTER A WITH BREVE AND ACUTE
1EB0          ; Lu #       LATIN CAPITAL LETTER A WITH BREVE AND GRAVE
1EB2          ; Lu #       LATIN CAPITAL LETTER A WITH BREVE AND HOOK ABOVE
1EB4          ; Lu #       LATIN CAPITAL LETTER A WITH BREVE AND TILDE
1EB6          ; Lu #       LATIN CAPITAL LETTER A WITH BREVE AND DOT BELOW
1EB8          ; Lu #       LATIN CAPITAL LETTER E WITH DOT BELOW
1EBA          ; Lu #       LATIN CAPITAL LETTER E WITH HOOK ABOVE
1EBC          ; Lu #       LATIN CAPITAL LETTER E WITH TILDE
1EBE          ; Lu #       LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND ACUTE
1EC0          ; Lu #       LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND GRAVE
1EC2          ; Lu #       LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE
1EC4          ; Lu #       LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND TILDE
1EC6          ; Lu #       LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND DOT BELOW
1EC8          ; Lu #       LATIN CAPITAL LETTER I WITH HOOK ABOVE
1ECA          ; Lu #       LATIN CAPITAL LETTER I WITH DOT BELOW
1ECC          ; Lu #       LATIN CAPITAL LETTER O WITH DOT BELOW
1ECE          ; Lu #       LATIN CAPITAL LETTER O WITH HOOK ABOVE
1ED0          ; Lu #       LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND ACUTE
1ED2          ; Lu #       LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND GRAVE
1ED4          ; Lu #       LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND HOOK ABOVE
1ED6          ; Lu #       LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND TILDE
1ED8          ; Lu #       LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND DOT BELOW
1EDA          ; Lu #       LATIN CAPITAL LETTER O WITH HORN AND ACUTE
1EDC          ; Lu #       LATIN CAPITAL LETTER O WITH HORN AND GRAVE
1EDE          ; Lu #       LATIN CAPITAL LETTER O WITH HORN AND HOOK ABOVE
1EE0          ; Lu #       LATIN CAPITAL LETTER O WITH HORN AND TILDE
1EE2          ; Lu #       LATIN CAPITAL LETTER O WITH HORN AND DOT BELOW
1EE4          ; Lu #       LATIN CAPITAL LETTER U WITH DOT BELOW
1EE6          ; Lu #       LATIN CAPITAL LETTER U WITH HOOK ABOVE
1EE8          ; Lu #       LATIN CAPITAL LETTER U WITH HORN AND ACUTE
1EEA          ; Lu #       LATIN CAPITAL LETTER U WITH HORN AND GRAVE
1EEC          ; Lu #       LATIN CAPITAL LETTER U WITH HORN AND HOOK ABOVE
1EEE          ; Lu #       LATIN CAPITAL LETTER U WITH HORN AND TILDE
1EF0          ; Lu #       LATIN CAPITAL LETTER U WITH HORN AND DOT BELOW
1EF2          ; Lu #       LATIN CAPITAL LETTER Y WITH GRAVE
1EF4          ; Lu #       LATIN CAPITAL LETTER Y WITH DOT BELOW
1EF6          ; Lu #       LATIN CAPITAL LETTER Y WITH HOOK ABOVE
1EF8          ; Lu #       LATIN CAPITAL LETTER Y WITH TILDE
1F08..1F0F    ; Lu #   [8] GREEK CAPITAL LETTER ALPHA WITH PSILI..GREEK CAPITAL LETTER ALPHA WITH DASIA AND PERISPOMENI
1F18..1F1D    ; Lu #   [6] GREEK CAPITAL LETTER EPSILON WITH PSILI..GREEK CAPITAL LETTER EPSILON WITH DASIA AND OXIA
1F28..1F2F    ; Lu #   [8] GREEK CAPITAL LETTER ETA WITH PSILI..GREEK CAPITAL LETTER ETA WITH DASIA AND PERISPOMENI
1F38..1F3F    ; Lu #   [8] GREEK CAPITAL LETTER IOTA WITH PSILI..GREEK CAPITAL LETTER IOTA WITH DASIA AND PERISPOMENI
1F48..1F4D    ; Lu #   [6] GREEK CAPITAL LETTER OMICRON WITH PSILI..GREEK CAPITAL LETTER OMICRON WITH DASIA AND OXIA
1F59          ; Lu #       GREEK CAPITAL LETTER UPSILON WITH DASIA
1F5B          ; Lu #       GREEK CAPITAL LETTER UPSILON WITH DASIA AND VARIA
1F5D          ; Lu #       GREEK CAPITAL LETTER UPSILON WITH DASIA AND OXIA
1F5F          ; Lu #       GREEK CAPITAL LETTER UPSILON WITH DASIA AND PERISPOMENI
1F68..1F6F    ; Lu #   [8] GREEK CAPITAL LETTER OMEGA WITH PSILI..GREEK CAPITAL LETTER OMEGA WITH DASIA AND PERISPOMENI
1FB8..1FBB    ; Lu #   [4] GREEK CAPITAL LETTER ALPHA WITH VRACHY..GREEK CAPITAL LETTER ALPHA WITH OXIA
1FC8..1FCB    ; Lu #   [4] GREEK CAPITAL LETTER EPSILON WITH VARIA..GREEK CAPITAL LETTER ETA WITH OXIA
1FD8..1FDB    ; Lu #   [4] GREEK CAPITAL LETTER IOTA WITH VRACHY..GREEK CAPITAL LETTER IOTA WITH OXIA
1FE8..1FEC    ; Lu #   [5] GREEK CAPITAL LETTER UPSILON WITH VRACHY..GREEK CAPITAL LETTER RHO WITH DASIA
1FF8..1FFB    ; Lu #   [4] GREEK CAPITAL LETTER OMICRON WITH VARIA..GREEK CAPITAL LETTER OMEGA WITH OXIA
2102          ; Lu #       DOUBLE-STRUCK CAPITAL C
2107          ; Lu #       EULER CONSTANT
210B..210D    ; Lu #   [3] SCRIPT CAPITAL H..DOUBLE-STRUCK CAPITAL H
2110..2112    ; Lu #   [3] SCRIPT CAPITAL I..SCRIPT CAPITAL L
2115          ; Lu #       DOUBLE-STRUCK CAPITAL N
2119..211D    ; Lu #   [5] DOUBLE-STRUCK CAPITAL P..DOUBLE-STRUCK CAPITAL R
2124          ; Lu #       DOUBLE-STRUCK CAPITAL Z
2126          ; Lu #       OHM SIGN
2128          ; Lu #       BLACK-LETTER CAPITAL Z
212A..212D    ; Lu #   [4] KELVIN SIGN..BLACK-LETTER CAPITAL C
2130..2131    ; Lu #   [2] SCRIPT CAPITAL E..SCRIPT CAPITAL F
2133          ; Lu #       SCRIPT CAPITAL M
213E..213F    ; Lu #   [2] DOUBLE-STRUCK CAPITAL GAMMA..DOUBLE-STRUCK CAPITAL PI
2145          ; Lu #       DOUBLE-STRUCK ITALIC CAPITAL D
FF21..FF3A    ; Lu #  [26] FULLWIDTH LATIN CAPITAL LETTER A..FULLWIDTH LATIN CAPITAL LETTER Z
10400..10425  ; Lu #  [38] DESERET CAPITAL LETTER LONG I..DESERET CAPITAL LETTER ENG
1D400..1D419  ; Lu #  [26] MATHEMATICAL BOLD CAPITAL A..MATHEMATICAL BOLD CAPITAL Z
1D434..1D44D  ; Lu #  [26] MATHEMATICAL ITALIC CAPITAL A..MATHEMATICAL ITALIC CAPITAL Z
1D468..1D481  ; Lu #  [26] MATHEMATICAL BOLD ITALIC CAPITAL A..MATHEMATICAL BOLD ITALIC CAPITAL Z
1D49C         ; Lu #       MATHEMATICAL SCRIPT CAPITAL A
1D49E..1D49F  ; Lu #   [2] MATHEMATICAL SCRIPT CAPITAL C..MATHEMATICAL SCRIPT CAPITAL D
1D4A2         ; Lu #       MATHEMATICAL SCRIPT CAPITAL G
1D4A5..1D4A6  ; Lu #   [2] MATHEMATICAL SCRIPT CAPITAL J..MATHEMATICAL SCRIPT CAPITAL K
1D4A9..1D4AC  ; Lu #   [4] MATHEMATICAL SCRIPT CAPITAL N..MATHEMATICAL SCRIPT CAPITAL Q
1D4AE..1D4B5  ; Lu #   [8] MATHEMATICAL SCRIPT CAPITAL S..MATHEMATICAL SCRIPT CAPITAL Z
1D4D0..1D4E9  ; Lu #  [26] MATHEMATICAL BOLD SCRIPT CAPITAL A..MATHEMATICAL BOLD SCRIPT CAPITAL Z
1D504..1D505  ; Lu #   [2] MATHEMATICAL FRAKTUR CAPITAL A..MATHEMATICAL FRAKTUR CAPITAL B
1D507..1D50A  ; Lu #   [4] MATHEMATICAL FRAKTUR CAPITAL D..MATHEMATICAL FRAKTUR CAPITAL G
1D50D..1D514  ; Lu #   [8] MATHEMATICAL FRAKTUR CAPITAL J..MATHEMATICAL FRAKTUR CAPITAL Q
1D516..1D51C  ; Lu #   [7] MATHEMATICAL FRAKTUR CAPITAL S..MATHEMATICAL FRAKTUR CAPITAL Y
1D538..1D539  ; Lu #   [2] MATHEMATICAL DOUBLE-STRUCK CAPITAL A..MATHEMATICAL DOUBLE-STRUCK CAPITAL B
1D53B..1D53E  ; Lu #   [4] MATHEMATICAL DOUBLE-STRUCK CAPITAL D..MATHEMATICAL DOUBLE-STRUCK CAPITAL G
1D540..1D544  ; Lu #   [5] MATHEMATICAL DOUBLE-STRUCK CAPITAL I..MATHEMATICAL DOUBLE-STRUCK CAPITAL M
1D546         ; Lu #       MATHEMATICAL DOUBLE-STRUCK CAPITAL O
1D54A..1D550  ; Lu #   [7] MATHEMATICAL DOUBLE-STRUCK CAPITAL S..MATHEMATICAL DOUBLE-STRUCK CAPITAL Y
1D56C..1D585  ; Lu #  [26] MATHEMATICAL BOLD FRAKTUR CAPITAL A..MATHEMATICAL BOLD FRAKTUR CAPITAL Z
1D5A0..1D5B9  ; Lu #  [26] MATHEMATICAL SANS-SERIF CAPITAL A..MATHEMATICAL SANS-SERIF CAPITAL Z
1D5D4..1D5ED  ; Lu #  [26] MATHEMATICAL SANS-SERIF BOLD CAPITAL A..MATHEMATICAL SANS-SERIF BOLD CAPITAL Z
1D608..1D621  ; Lu #  [26] MATHEMATICAL SANS-SERIF ITALIC CAPITAL A..MATHEMATICAL SANS-SERIF ITALIC CAPITAL Z
1D63C..1D655  ; Lu #  [26] MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL A..MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL Z
1D670..1D689  ; Lu #  [26] MATHEMATICAL MONOSPACE CAPITAL A..MATHEMATICAL MONOSPACE CAPITAL Z
1D6A8..1D6C0  ; Lu #  [25] MATHEMATICAL BOLD CAPITAL ALPHA..MATHEMATICAL BOLD CAPITAL OMEGA
1D6E2..1D6FA  ; Lu #  [25] MATHEMATICAL ITALIC CAPITAL ALPHA..MATHEMATICAL ITALIC CAPITAL OMEGA
1D71C..1D734  ; Lu #  [25] MATHEMATICAL BOLD ITALIC CAPITAL ALPHA..MATHEMATICAL BOLD ITALIC CAPITAL OMEGA
1D756..1D76E  ; Lu #  [25] MATHEMATICAL SANS-SERIF BOLD CAPITAL ALPHA..MATHEMATICAL SANS-SERIF BOLD CAPITAL OMEGA
1D790..1D7A8  ; Lu #  [25] MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL ALPHA..MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL OMEGA

# Total code points: 1185

# ================================================

0061..007A    ; Ll #  [26] LATIN SMALL LETTER A..LATIN SMALL LETTER Z
00AA          ; Ll #       FEMININE ORDINAL INDICATOR
00B5          ; Ll #       MICRO SIGN
00BA          ; Ll #       MASCULINE ORDINAL INDICATOR
00DF..00F6    ; Ll #  [24] LATIN SMALL LETTER SHARP S..LATIN SMALL LETTER O WITH DIAERESIS
00F8..00FF    ; Ll #   [8] LATIN SMALL LETTER O WITH STROKE..LATIN SMALL LETTER Y WITH DIAERESIS
0101          ; Ll #       LATIN SMALL LETTER A WITH MACRON
0103          ; Ll #       LATIN SMALL LETTER A WITH BREVE
0105          ; Ll #       LATIN SMALL LETTER A WITH OGONEK
0107          ; Ll #       LATIN SMALL LETTER C WITH ACUTE
0109          ; Ll #       LATIN SMALL LETTER C WITH CIRCUMFLEX
010B          ; Ll #       LATIN SMALL LETTER C WITH DOT ABOVE
010D          ; Ll #       LATIN SMALL LETTER C WITH CARON
010F          ; Ll #       LATIN SMALL LETTER D WITH CARON
0111          ; Ll #       LATIN SMALL LETTER D WITH STROKE
0113          ; Ll #       LATIN SMALL LETTER E WITH MACRON
0115          ; Ll #       LATIN SMALL LETTER E WITH BREVE
0117          ; Ll #       LATIN SMALL LETTER E WITH DOT ABOVE
0119          ; Ll #       LATIN SMALL LETTER E WITH OGONEK
011B          ; Ll #       LATIN SMALL LETTER E WITH CARON
011D          ; Ll #       LATIN SMALL LETTER G WITH CIRCUMFLEX
011F          ; Ll #       LATIN SMALL LETTER G WITH BREVE
0121          ; Ll #       LATIN SMALL LETTER G WITH DOT ABOVE
0123          ; Ll #       LATIN SMALL LETTER G WITH CEDILLA
0125          ; Ll #       LATIN SMALL LETTER H WITH CIRCUMFLEX
0127          ; Ll #       LATIN SMALL LETTER H WITH STROKE
0129          ; Ll #       LATIN SMALL LETTER I WITH TILDE
012B          ; Ll #       LATIN SMALL LETTER I WITH MACRON
012D          ; Ll #       LATIN SMALL LETTER I WITH BREVE
012F          ; Ll #       LATIN SMALL LETTER I WITH OGONEK
0131          ; Ll #       LATIN SMALL LETTER DOTLESS I
0133          ; Ll #       LATIN SMALL LIGATURE IJ
0135          ; Ll #       LATIN SMALL LETTER J WITH CIRCUMFLEX
0137..0138    ; Ll #   [2] LATIN SMALL LETTER K WITH CEDILLA..LATIN SMALL LETTER KRA
013A          ; Ll #       LATIN SMALL LETTER L WITH ACUTE
013C          ; Ll #       LATIN SMALL LETTER L WITH CEDILLA
013E          ; Ll #       LATIN SMALL LETTER L WITH CARON
0140          ; Ll #       LATIN SMALL LETTER L WITH MIDDLE DOT
0142          ; Ll #       LATIN SMALL LETTER L WITH STROKE
0144          ; Ll #       LATIN SMALL LETTER N WITH ACUTE
0146          ; Ll #       LATIN SMALL LETTER N WITH CEDILLA
0148..0149    ; Ll #   [2] LATIN SMALL LETTER N WITH CARON..LATIN SMALL LETTER N PRECEDED BY APOSTROPHE
014B          ; Ll #       LATIN SMALL LETTER ENG
014D          ; Ll #       LATIN SMALL LETTER O WITH MACRON
014F          ; Ll #       LATIN SMALL LETTER O WITH BREVE
0151          ; Ll #       LATIN SMALL LETTER O WITH DOUBLE ACUTE
0153          ; Ll #       LATIN SMALL LIGATURE OE
0155          ; Ll #       LATIN SMALL LETTER R WITH ACUTE
0157          ; Ll #       LATIN SMALL LETTER R WITH CEDILLA
0159          ; Ll #       LATIN SMALL LETTER R WITH CARON
015B          ; Ll #       LATIN SMALL LETTER S WITH ACUTE
015D          ; Ll #       LATIN SMALL LETTER S WITH CIRCUMFLEX
015F          ; Ll #       LATIN SMALL LETTER S WITH CEDILLA
0161          ; Ll #       LATIN SMALL LETTER S WITH CARON
0163          ; Ll #       LATIN SMALL LETTER T WITH CEDILLA
0165          ; Ll #       LATIN SMALL LETTER T WITH CARON
0167          ; Ll #       LATIN SMALL LETTER T WITH STROKE
0169          ; Ll #       LATIN SMALL LETTER U WITH TILDE
016B          ; Ll #       LATIN SMALL LETTER U WITH MACRON
016D          ; Ll #       LATIN SMALL LETTER U WITH BREVE
016F          ; Ll #       LATIN SMALL LETTER U WITH RING ABOVE
0171          ; Ll #       LATIN SMALL LETTER U WITH DOUBLE ACUTE
0173          ; Ll #       LATIN SMALL LETTER U WITH OGONEK
0175          ; Ll #       LATIN SMALL LETTER W WITH CIRCUMFLEX
